Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	14/621	1.756594e-08	1.143542e-05	0	0	8.254012e+00	1.473944e+02	IL32;HLA-DRB5;IL10RA;ITGB2;SLA;IL2RG;LCK;HLA-DPB1;HLA-DRA;PTPN6;LTB;HLA-DRB1;TRIM22;HLA-DPA1
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	12/482	7.170804e-08	2.334097e-05	0	0	8.873252e+00	1.459709e+02	IL32;SELPLG;LCK;IL10RA;ITGB2;SLA;HCLS1;CXCR4;PTPN6;LGALS9;IL2RG;HLA-DPA1
GO_Biological_Process_2021	interferon-gamma-mediated signaling pathway (GO:0060333)	6/68	1.143526e-07	2.481452e-05	0	0	3.101457e+01	4.957362e+02	HLA-DRB5;HLA-DPB1;HLA-DRA;TRIM22;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	cellular response to interferon-gamma (GO:0071346)	7/121	1.778671e-07	2.894788e-05	0	0	1.994909e+01	3.100534e+02	HLA-DRB5;HLA-DPB1;HLA-DRA;LGALS9;HLA-DRB1;TRIM22;HLA-DPA1
GO_Biological_Process_2021	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)	3/5	3.740567e-07	4.870218e-05	0	0	4.599231e+02	6.806337e+03	HLA-DRA;LGALS9;HLA-DRB1
GO_Biological_Process_2021	peptide antigen assembly with MHC protein complex (GO:0002501)	3/6	7.462971e-07	8.097323e-05	0	0	3.066000e+02	4.325556e+03	HLA-DMA;HLA-DRA;HLA-DRB1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	6/98	1.015455e-06	9.308244e-05	0	0	2.086957e+01	2.880036e+02	HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	6/100	1.143870e-06	9.308244e-05	0	0	2.042347e+01	2.794154e+02	HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	6/103	1.361152e-06	9.845669e-05	0	0	1.978883e+01	2.672912e+02	HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021	positive regulation of leukocyte cell-cell adhesion (GO:1903039)	4/31	3.587640e-06	2.335554e-04	0	0	4.607639e+01	5.777065e+02	LCK;ITGB2;HLA-DPB1;HLA-DPA1
GO_Biological_Process_2021	positive regulation of immune response (GO:0050778)	5/75	5.616278e-06	3.046831e-04	0	0	2.251927e+01	2.722545e+02	SASH3;ITGB2;HLA-DRA;LGALS9;HLA-DRB1
GO_Biological_Process_2021	positive regulation of T cell activation (GO:0050870)	5/75	5.616278e-06	3.046831e-04	0	0	2.251927e+01	2.722545e+02	LCK;HLA-DPB1;RHOH;LGALS9;HLA-DPA1
