Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	3/70	4.484955e-05	8.400309e-03	0	0	5.244864e+01	5.251261e+02	NDUFB9;COX7A2L;UQCRC1
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	3/71	4.679838e-05	8.400309e-03	0	0	5.167474e+01	5.151797e+02	NDUFB9;COX7A2L;UQCRC1
GO_Biological_Process_2021	positive chemotaxis (GO:0050918)	2/18	1.439629e-04	1.722756e-02	0	0	1.386389e+02	1.226393e+03	LGALS3;GPNMB
GO_Biological_Process_2021	negative regulation of lymphocyte activation (GO:0051250)	2/22	2.168356e-04	1.946100e-02	0	0	1.108889e+02	9.354998e+02	LGALS3;GPNMB
GO_Biological_Process_2021	phagosome acidification (GO:0090383)	2/28	3.535488e-04	2.363914e-02	0	0	8.527350e+01	6.777102e+02	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	intracellular pH reduction (GO:0051452)	2/35	5.541829e-04	2.363914e-02	0	0	6.716162e+01	5.035789e+02	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	transferrin transport (GO:0033572)	2/36	5.864305e-04	2.363914e-02	0	0	6.518301e+01	4.850565e+02	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	mitochondrion disassembly (GO:0061726)	2/36	5.864305e-04	2.363914e-02	0	0	6.518301e+01	4.850565e+02	FIS1;FBXO7
GO_Biological_Process_2021	phagosome maturation (GO:0090382)	2/37	6.195695e-04	2.363914e-02	0	0	6.331746e+01	4.676935e+02	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	mitochondrion organization (GO:0007005)	3/175	6.727783e-04	2.363914e-02	0	0	2.032285e+01	1.484400e+02	FIS1;COX7A2L;FBXO7
GO_Biological_Process_2021	autophagy of mitochondrion (GO:0000422)	2/40	7.243191e-04	2.363914e-02	0	0	5.830994e+01	4.215971e+02	FIS1;FBXO7
GO_Biological_Process_2021	negative regulation of T cell activation (GO:0050868)	2/45	9.165787e-04	2.673189e-02	0	0	5.151680e+01	3.603529e+02	LGALS3;GPNMB
GO_Biological_Process_2021	regulation of T cell activation (GO:0050863)	2/47	9.996316e-04	2.673189e-02	0	0	4.922222e+01	3.400332e+02	LGALS3;GPNMB
GO_Biological_Process_2021	establishment of protein localization to mitochondrion (GO:0072655)	2/48	1.042469e-03	2.673189e-02	0	0	4.814976e+01	3.306041e+02	FIS1;FBXO7
GO_Biological_Process_2021	iron ion transport (GO:0006826)	2/50	1.130759e-03	2.706283e-02	0	0	4.613889e+01	3.130462e+02	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	protein targeting to mitochondrion (GO:0006626)	2/55	1.366658e-03	2.824985e-02	0	0	4.177568e+01	2.755268e+02	FIS1;FBXO7
GO_Biological_Process_2021	regulation of ATP metabolic process (GO:1903578)	2/56	1.416427e-03	2.824985e-02	0	0	4.100000e+01	2.689443e+02	FIS1;COX7A2L
GO_Biological_Process_2021	mitochondrial transport (GO:0006839)	2/56	1.416427e-03	2.824985e-02	0	0	4.100000e+01	2.689443e+02	FIS1;FBXO7
GO_Biological_Process_2021	positive regulation of mitochondrion organization (GO:0010822)	2/58	1.518540e-03	2.869241e-02	0	0	3.953175e+01	2.565613e+02	FIS1;FBXO7
GO_Biological_Process_2021	insulin receptor signaling pathway (GO:0008286)	2/73	2.392650e-03	4.042830e-02	0	0	3.115649e+01	1.880405e+02	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	cellular response to amino acid starvation (GO:0034198)	2/74	2.457641e-03	4.042830e-02	0	0	3.072222e+01	1.845961e+02	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	response to amino acid starvation (GO:1990928)	2/75	2.523463e-03	4.042830e-02	0	0	3.029985e+01	1.812574e+02	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	regulation of T cell proliferation (GO:0042129)	2/76	2.590114e-03	4.042830e-02	0	0	2.988889e+01	1.780198e+02	LGALS3;GPNMB
GO_Biological_Process_2021	anaphase-promoting complex-dependent catabolic process (GO:0031145)	2/84	3.152990e-03	4.716348e-02	0	0	2.696206e+01	1.552854e+02	PSMB7;ANAPC11
GO_Biological_Process_2021	protein import (GO:0017038)	2/89	3.531335e-03	4.949112e-02	0	0	2.540613e+01	1.434450e+02	FIS1;PTTG1IP
GO_Biological_Process_2021	protein polyubiquitination (GO:0000209)	3/314	3.584315e-03	4.949112e-02	0	0	1.116077e+01	6.284840e+01	PSMB7;FBXO7;ANAPC11
GO_Biological_Process_2021	negative regulation of mitotic cell cycle phase transition (GO:1901991)	2/92	3.768047e-03	4.998360e-02	0	0	2.455556e+01	1.370494e+02	PSMB7;GPNMB
GO_Biological_Process_2021	regulation of cell cycle phase transition (GO:1901987)	2/95	4.011985e-03	4.998360e-02	0	0	2.375986e+01	1.311180e+02	PSMB7;ANAPC11
GO_Biological_Process_2021	negative regulation of neuron death (GO:1901215)	2/98	4.263111e-03	4.998360e-02	0	0	2.301389e+01	1.256042e+02	GPNMB;FBXO7
GO_Biological_Process_2021	positive regulation of protein localization to membrane (GO:1905477)	2/101	4.521382e-03	4.998360e-02	0	0	2.231313e+01	1.204672e+02	FIS1;LGALS3
GO_Biological_Process_2021	post-translational protein modification (GO:0043687)	3/345	4.665256e-03	4.998360e-02	0	0	1.013313e+01	5.439070e+01	PSMB7;COPS6;FBXO7
GO_Biological_Process_2021	positive regulation of dendritic cell differentiation (GO:2001200)	1/5	4.990441e-03	4.998360e-02	0	0	2.628421e+02	1.393124e+03	LGALS3
GO_Biological_Process_2021	melanin biosynthetic process (GO:0042438)	1/5	4.990441e-03	4.998360e-02	0	0	2.628421e+02	1.393124e+03	TYR
GO_Biological_Process_2021	negative regulation of lipid transport (GO:0032369)	1/5	4.990441e-03	4.998360e-02	0	0	2.628421e+02	1.393124e+03	FIS1
GO_Biological_Process_2021	negative regulation of plasminogen activation (GO:0010757)	1/5	4.990441e-03	4.998360e-02	0	0	2.628421e+02	1.393124e+03	SERPINE2
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	3/354	5.012283e-03	4.998360e-02	0	0	9.868778e+00	5.226371e+01	PSMB7;FBXO7;ANAPC11
GO_Biological_Process_2021	snRNA modification (GO:0040031)	1/6	5.985691e-03	5.509905e-02	0	0	2.102632e+02	1.076207e+03	NHP2
GO_Biological_Process_2021	regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell (GO:2001188)	1/6	5.985691e-03	5.509905e-02	0	0	2.102632e+02	1.076207e+03	LGALS3
GO_Biological_Process_2021	negative regulation of endoplasmic reticulum calcium ion concentration (GO:0032471)	1/6	5.985691e-03	5.509905e-02	0	0	2.102632e+02	1.076207e+03	FIS1
GO_Biological_Process_2021	protein targeting (GO:0006605)	2/125	6.839947e-03	5.553942e-02	0	0	1.793767e+01	8.941884e+01	FIS1;FBXO7
GO_Biological_Process_2021	positive regulation of potassium ion import across plasma membrane (GO:1903288)	1/7	6.979996e-03	5.553942e-02	0	0	1.752105e+02	8.698689e+02	ATP1B3
GO_Biological_Process_2021	cellular response to insulin stimulus (GO:0032869)	2/129	7.269142e-03	5.553942e-02	0	0	1.736920e+01	8.552799e+01	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	positive regulation of astrocyte differentiation (GO:0048711)	1/8	7.973357e-03	5.553942e-02	0	0	1.501729e+02	7.255830e+02	SERPINE2
GO_Biological_Process_2021	regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	1/8	7.973357e-03	5.553942e-02	0	0	1.501729e+02	7.255830e+02	PTTG1IP
GO_Biological_Process_2021	regulation of lymphocyte apoptotic process (GO:0070228)	1/8	7.973357e-03	5.553942e-02	0	0	1.501729e+02	7.255830e+02	LGALS3
GO_Biological_Process_2021	regulation of oxidative stress-induced neuron death (GO:1903203)	1/8	7.973357e-03	5.553942e-02	0	0	1.501729e+02	7.255830e+02	FBXO7
GO_Biological_Process_2021	positive regulation of leukocyte differentiation (GO:1902107)	1/8	7.973357e-03	5.553942e-02	0	0	1.501729e+02	7.255830e+02	LGALS3
GO_Biological_Process_2021	regulation of potassium ion import (GO:1903286)	1/8	7.973357e-03	5.553942e-02	0	0	1.501729e+02	7.255830e+02	ATP1B3
GO_Biological_Process_2021	positive regulation of autophagy of mitochondrion (GO:1903599)	1/9	8.965773e-03	5.553942e-02	0	0	1.313947e+02	6.194396e+02	FBXO7
GO_Biological_Process_2021	mitochondrial fragmentation involved in apoptotic process (GO:0043653)	1/9	8.965773e-03	5.553942e-02	0	0	1.313947e+02	6.194396e+02	FIS1
GO_Biological_Process_2021	mitochondrial respirasome assembly (GO:0097250)	1/9	8.965773e-03	5.553942e-02	0	0	1.313947e+02	6.194396e+02	COX7A2L
GO_Biological_Process_2021	peroxisome fission (GO:0016559)	1/9	8.965773e-03	5.553942e-02	0	0	1.313947e+02	6.194396e+02	FIS1
GO_Biological_Process_2021	phenol-containing compound biosynthetic process (GO:0046189)	1/9	8.965773e-03	5.553942e-02	0	0	1.313947e+02	6.194396e+02	TYR
GO_Biological_Process_2021	negative regulation of platelet aggregation (GO:0090331)	1/9	8.965773e-03	5.553942e-02	0	0	1.313947e+02	6.194396e+02	SERPINE2
GO_Biological_Process_2021	positive regulation of mitochondrial calcium ion concentration (GO:0051561)	1/9	8.965773e-03	5.553942e-02	0	0	1.313947e+02	6.194396e+02	FIS1
GO_Biological_Process_2021	low-density lipoprotein particle receptor catabolic process (GO:0032802)	1/10	9.957248e-03	5.553942e-02	0	0	1.167895e+02	5.383358e+02	CLTA
GO_Biological_Process_2021	low-density lipoprotein receptor particle metabolic process (GO:0032799)	1/10	9.957248e-03	5.553942e-02	0	0	1.167895e+02	5.383358e+02	CLTA
GO_Biological_Process_2021	protein deneddylation (GO:0000338)	1/10	9.957248e-03	5.553942e-02	0	0	1.167895e+02	5.383358e+02	COPS6
GO_Biological_Process_2021	rRNA pseudouridine synthesis (GO:0031118)	1/10	9.957248e-03	5.553942e-02	0	0	1.167895e+02	5.383358e+02	NHP2
GO_Biological_Process_2021	cellular response to starvation (GO:0009267)	2/158	1.073304e-02	5.553942e-02	0	0	1.411966e+01	6.402458e+01	ATP6V0B;ATP6V1F
GO_Biological_Process_2021	regulation of T cell apoptotic process (GO:0070232)	1/11	1.094778e-02	5.553942e-02	0	0	1.051053e+02	4.745102e+02	LGALS3
GO_Biological_Process_2021	negative regulation of homotypic cell-cell adhesion (GO:0034111)	1/11	1.094778e-02	5.553942e-02	0	0	1.051053e+02	4.745102e+02	SERPINE2
GO_Biological_Process_2021	mitochondrion morphogenesis (GO:0070584)	1/11	1.094778e-02	5.553942e-02	0	0	1.051053e+02	4.745102e+02	FIS1
GO_Biological_Process_2021	negative regulation of oxidative stress-induced neuron death (GO:1903204)	1/11	1.094778e-02	5.553942e-02	0	0	1.051053e+02	4.745102e+02	FBXO7
GO_Biological_Process_2021	negative regulation of protein maturation (GO:1903318)	1/11	1.094778e-02	5.553942e-02	0	0	1.051053e+02	4.745102e+02	SERPINE2
GO_Biological_Process_2021	regulation of hemopoiesis (GO:1903706)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	LGALS3
GO_Biological_Process_2021	macrophage chemotaxis (GO:0048246)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	LGALS3
GO_Biological_Process_2021	regulation of astrocyte differentiation (GO:0048710)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	SERPINE2
GO_Biological_Process_2021	positive regulation of sodium ion transmembrane transport (GO:1902307)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	ATP1B3
GO_Biological_Process_2021	negative regulation of hemostasis (GO:1900047)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	SERPINE2
GO_Biological_Process_2021	mitochondrial electron transport, ubiquinol to cytochrome c (GO:0006122)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	UQCRC1
GO_Biological_Process_2021	tyrosine metabolic process (GO:0006570)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	TYR
GO_Biological_Process_2021	regulation of dendritic cell differentiation (GO:2001198)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	LGALS3
GO_Biological_Process_2021	regulation of plasminogen activation (GO:0010755)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	SERPINE2
GO_Biological_Process_2021	positive regulation of metaphase/anaphase transition of cell cycle (GO:1902101)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	ANAPC11
GO_Biological_Process_2021	positive regulation of mitotic metaphase/anaphase transition (GO:0045842)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	ANAPC11
GO_Biological_Process_2021	positive regulation of mitotic sister chromatid separation (GO:1901970)	1/12	1.193737e-02	5.553942e-02	0	0	9.554545e+01	4.230831e+02	ANAPC11
GO_Biological_Process_2021	cellular protein-containing complex assembly (GO:0034622)	2/168	1.206706e-02	5.553942e-02	0	0	1.326238e+01	5.858360e+01	COX7A2L;CLTA
GO_Biological_Process_2021	sodium ion export across plasma membrane (GO:0036376)	1/13	1.292602e-02	5.590893e-02	0	0	8.757895e+01	3.808382e+02	ATP1B3
GO_Biological_Process_2021	positive regulation of calcium ion import (GO:0090280)	1/13	1.292602e-02	5.590893e-02	0	0	8.757895e+01	3.808382e+02	LGALS3
GO_Biological_Process_2021	pseudouridine synthesis (GO:0001522)	1/13	1.292602e-02	5.590893e-02	0	0	8.757895e+01	3.808382e+02	NHP2
GO_Biological_Process_2021	cell part morphogenesis (GO:0032990)	1/13	1.292602e-02	5.590893e-02	0	0	8.757895e+01	3.808382e+02	FIS1
GO_Biological_Process_2021	cellular potassium ion homeostasis (GO:0030007)	1/13	1.292602e-02	5.590893e-02	0	0	8.757895e+01	3.808382e+02	ATP1B3
GO_Biological_Process_2021	regulation of mitotic cell cycle (GO:0007346)	2/178	1.347038e-02	5.622820e-02	0	0	1.250253e+01	5.385165e+01	PSMB7;ANAPC11
GO_Biological_Process_2021	positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	1/14	1.391373e-02	5.622820e-02	0	0	8.083806e+01	3.455729e+02	ATP1B3
GO_Biological_Process_2021	negative regulation of coagulation (GO:0050819)	1/14	1.391373e-02	5.622820e-02	0	0	8.083806e+01	3.455729e+02	SERPINE2
GO_Biological_Process_2021	negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	1/14	1.391373e-02	5.622820e-02	0	0	8.083806e+01	3.455729e+02	PTTG1IP
