Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,cytokine-mediated signaling pathway (GO:0019221),14/621,1.7565936760077064e-08,1.1435424830810169e-05,0,0,8.254011837207884,147.39440042562785,IL32;HLA-DRB5;IL10RA;ITGB2;SLA;IL2RG;LCK;HLA-DPB1;HLA-DRA;PTPN6;LTB;HLA-DRB1;TRIM22;HLA-DPA1
GO_Biological_Process_2021,cellular response to cytokine stimulus (GO:0071345),12/482,7.170803500018455e-08,2.3340965392560065e-05,0,0,8.873252279635258,145.97088324542077,IL32;SELPLG;LCK;IL10RA;ITGB2;SLA;HCLS1;CXCR4;PTPN6;LGALS9;IL2RG;HLA-DPA1
GO_Biological_Process_2021,interferon-gamma-mediated signaling pathway (GO:0060333),6/68,1.1435264661232512e-07,2.481452431487455e-05,0,0,31.014568158168576,495.7361990600164,HLA-DRB5;HLA-DPB1;HLA-DRA;TRIM22;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021,cellular response to interferon-gamma (GO:0071346),7/121,1.7786714898893706e-07,2.89478784979495e-05,0,0,19.94909404659189,310.05338640497274,HLA-DRB5;HLA-DPB1;HLA-DRA;LGALS9;HLA-DRB1;TRIM22;HLA-DPA1
GO_Biological_Process_2021,"positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation (GO:0032831)",3/5,3.7405667706470497e-07,4.870217935382458e-05,0,0,459.9230769230769,6806.336539976024,HLA-DRA;LGALS9;HLA-DRB1
GO_Biological_Process_2021,peptide antigen assembly with MHC protein complex (GO:0002501),3/6,7.462970555691459e-07,8.097323052925233e-05,0,0,306.6,4325.556373436592,HLA-DMA;HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),6/98,1.0154546244678777e-06,9.308243581017107e-05,0,0,20.869565217391305,288.0036342233893,HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),6/100,1.1438701789268336e-06,9.308243581017107e-05,0,0,20.42347288949897,279.41543507643144,HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021,antigen processing and presentation of exogenous peptide antigen (GO:0002478),6/103,1.3611524433054142e-06,9.845669339909162e-05,0,0,19.788826072497507,267.2912126417272,HLA-DRB5;HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021,positive regulation of leukocyte cell-cell adhesion (GO:1903039),4/31,3.5876399351571677e-06,0.0002335553597787316,0,0,46.076388888888886,577.7064997898095,LCK;ITGB2;HLA-DPB1;HLA-DPA1
GO_Biological_Process_2021,positive regulation of immune response (GO:0050778),5/75,5.616278101795657e-06,0.0003046830870224144,0,0,22.519274376417236,272.25445504406315,SASH3;ITGB2;HLA-DRA;LGALS9;HLA-DRB1
GO_Biological_Process_2021,positive regulation of T cell activation (GO:0050870),5/75,5.616278101795657e-06,0.0003046830870224144,0,0,22.519274376417236,272.25445504406315,LCK;HLA-DPB1;RHOH;LGALS9;HLA-DPA1
GO_Biological_Process_2021,"positive regulation of CD4-positive, alpha-beta T cell activation (GO:2000516)",3/13,1.0491722669611973e-05,0.0005253931890705687,0,0,91.94769230769232,1054.173297742469,HLA-DRA;LGALS9;HLA-DRB1
GO_Biological_Process_2021,T cell receptor signaling pathway (GO:0050852),6/158,1.614593517276572e-05,0.0007507859855336059,0,0,12.593378607809846,138.953352727226,HLA-DRB5;LCK;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021,regulation of immune response (GO:0050776),6/179,3.265672152397189e-05,0.0014173017141403,0,0,11.05295543539064,114.17105947613707,SELL;ITGB2;ICAM2;HLA-DRA;HCST;HLA-DRB1
GO_Biological_Process_2021,antigen receptor-mediated signaling pathway (GO:0050851),6/185,3.928017418072696e-05,0.0015982120869783,0,0,10.67922148134799,108.33846612808514,HLA-DRB5;LCK;HLA-DPB1;HLA-DRA;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021,regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122),6/224,0.00011322430996598288,0.0043358250463444,0,0,8.751405741343593,79.51649481256597,RHOH;TNFAIP3;LGALS9;APOL3;HLA-DRB1;TRIM22
GO_Biological_Process_2021,positive regulation of lymphocyte proliferation (GO:0050671),4/75,0.00012385182270682852,0.0044793075878969,0,0,17.483274647887324,157.2869636183865,SASH3;GPR183;HLA-DPB1;HLA-DPA1
GO_Biological_Process_2021,regulation of T-helper cell differentiation (GO:0045622),2/6,0.00016935418711549392,0.0053857021077606,0,0,150.96969696969697,1310.94811949453,HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,positive regulation of granulocyte differentiation (GO:0030854),2/6,0.00016935418711549392,0.0053857021077606,0,0,150.96969696969697,1310.94811949453,HCLS1;EVI2B
GO_Biological_Process_2021,positive regulation of immune effector process (GO:0002699),3/32,0.0001737323260567956,0.0053857021077606,0,0,31.67586206896552,274.24944905422035,HLA-DRA;LGALS9;HLA-DRB1
GO_Biological_Process_2021,regulation of interferon-gamma production (GO:0032649),4/86,0.00021040035618593377,0.0062259378125928,0,0,15.129573170731708,128.09450680368448,HLA-DPB1;LGALS9;HLA-DRB1;HLA-DPA1
GO_Biological_Process_2021,positive regulation of lymphocyte activation (GO:0051251),3/35,0.0002275837832901191,0.0064416105618203,0,0,28.70192307692308,240.751504287313,LCK;HLA-DPB1;HLA-DPA1
GO_Biological_Process_2021,positive regulation of myeloid leukocyte differentiation (GO:0002763),3/36,0.0002476705405233624,0.0067180634116962,0,0,27.83076923076923,231.0903198395103,HCLS1;EVI2B;HLA-DRB1
GO_Biological_Process_2021,"phagocytosis, engulfment (GO:0006911)",3/37,0.00026886963687817376,0.0068265315436284,0,0,27.010859728506787,222.06394667301703,BIN2;ITGB2;RHOH
GO_Biological_Process_2021,regulation of peptidyl-tyrosine phosphorylation (GO:0050730),4/92,0.00027264181280236573,0.0068265315436284,0,0,14.09375,115.67236253247964,ITGB2;HCLS1;PTPN6;SAMSN1
GO_Biological_Process_2021,regulation of viral entry into host cell (GO:0046596),3/39,0.0003147088789089017,0.006829885421554,0,0,25.50769230769231,205.69052449228303,LGALS9;TRIM22;HLA-DRB1
GO_Biological_Process_2021,"positive regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043372)",2/8,0.00031474126366608674,0.006829885421554,0,0,100.63636363636364,811.5074475931799,HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,"regulation of CD4-positive, alpha-beta T cell activation (GO:2000514)",2/8,0.00031474126366608674,0.006829885421554,0,0,100.63636363636364,811.5074475931799,HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,negative regulation of actin nucleation (GO:0051126),2/8,0.00031474126366608674,0.006829885421554,0,0,100.63636363636364,811.5074475931799,GMFG;CORO1A
GO_Biological_Process_2021,negative regulation of cytokine production (GO:0001818),5/182,0.0003871875156241871,0.0081309378281079,0,0,8.857949959644875,69.5933824596618,PTGER4;TNFAIP3;PTPN6;LGALS9;HLA-DRB1
GO_Biological_Process_2021,positive regulation of memory T cell differentiation (GO:0043382),2/9,0.0004037790020616498,0.0082143790731916,0,0,86.25541125541126,674.0552332096978,HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,positive regulation of T cell differentiation (GO:0045582),3/43,0.0004208635722139596,0.008302490470039,0,0,22.95230769230769,178.41292023227638,RHOH;HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,regulation of phosphatidylinositol 3-kinase signaling (GO:0014066),4/106,0.00046774786962740575,0.0083641265634549,0,0,12.150735294117649,93.1667488673932,PIK3IP1;HCLS1;PTPN6;HCST
GO_Biological_Process_2021,regulation of granulocyte differentiation (GO:0030852),2/10,0.0005036159037475685,0.0083641265634549,0,0,75.46969696969697,573.09398703068,HCLS1;EVI2B
GO_Biological_Process_2021,regulation of memory T cell differentiation (GO:0043380),2/10,0.0005036159037475685,0.0083641265634549,0,0,75.46969696969697,573.09398703068,HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,positive regulation of viral entry into host cell (GO:0046598),2/10,0.0005036159037475685,0.0083641265634549,0,0,75.46969696969697,573.09398703068,LGALS9;HLA-DRB1
GO_Biological_Process_2021,positive regulation by symbiont of entry into host (GO:0075294),2/10,0.0005036159037475685,0.0083641265634549,0,0,75.46969696969697,573.09398703068,LGALS9;HLA-DRB1
GO_Biological_Process_2021,positive regulation of intracellular signal transduction (GO:1902533),8/546,0.0005138135924871368,0.0083641265634549,0,0,4.806443618339529,36.402321800481005,LCK;HCLS1;PTPN6;LGALS9;HCST;APOL3;HLA-DRB1;TRIM22
GO_Biological_Process_2021,negative regulation of tumor necrosis factor production (GO:0032720),3/46,0.0005139248272476175,0.0083641265634549,0,0,21.347763864042932,161.67587114431686,TNFAIP3;PTPN6;LGALS9
GO_Biological_Process_2021,regulation of T cell activation (GO:0050863),3/47,0.0005476343139107085,0.0086953643501432,0,0,20.861538461538466,156.6681261911668,LCK;HLA-DPB1;HLA-DPA1
GO_Biological_Process_2021,negative regulation of tumor necrosis factor superfamily cytokine production (GO:1903556),3/48,0.0005827273186775658,0.0090322734395022,0,0,20.39692307692308,151.9120242400576,TNFAIP3;PTPN6;LGALS9
GO_Biological_Process_2021,"regulation of CD4-positive, alpha-beta T cell differentiation (GO:0043370)",2/12,0.0007353984087050349,0.0111335898620227,0,0,60.36969696969697,435.5732891001516,HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,mature B cell differentiation involved in immune response (GO:0002313),2/13,0.0008672004982370924,0.0128306255534624,0,0,54.87878787878788,386.90864481269017,GPR183;MFNG
GO_Biological_Process_2021,peptidyl-tyrosine modification (GO:0018212),3/56,0.0009159793277753665,0.013143881672722,0,0,17.311175616835992,121.10061918842436,LCK;ABI3;PTPN6
GO_Biological_Process_2021,positive regulation of interferon-gamma production (GO:0032729),3/57,0.0009645260399673188,0.013143881672722,0,0,16.98974358974359,117.97463415100592,HLA-DPB1;LGALS9;HLA-DPA1
GO_Biological_Process_2021,positive regulation of cytokine production (GO:0001819),6/335,0.0009656020805279736,0.013143881672722,0,0,5.766153544465143,40.03301287974156,PTGER4;HLA-DPB1;LTB;LGALS9;LY9;HLA-DPA1
GO_Biological_Process_2021,antigen processing and presentation of endogenous peptide antigen (GO:0002483),2/14,0.0010095147214072,0.013143881672722,0,0,50.30303030303031,347.00466642918985,HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,positive regulation of regulatory T cell differentiation (GO:0045591),2/14,0.0010095147214072,0.013143881672722,0,0,50.30303030303031,347.00466642918985,HLA-DRA;HLA-DRB1
GO_Biological_Process_2021,T-helper cell differentiation (GO:0042093),2/14,0.0010095147214072,0.013143881672722,0,0,50.30303030303031,347.00466642918985,PTGER4;GPR183
GO_Biological_Process_2021,inflammatory response (GO:0006954),5/230,0.0011139655621948,0.0142194427644871,0,0,6.951322751322751,47.267806391520494,PTGER4;ITGB2;CXCR4;LGALS9;APOL3
GO_Biological_Process_2021,neutrophil degranulation (GO:0043312),7/481,0.001218273865513,0.0151287912109147,0,0,4.710728366881096,31.61049612417272,CD53;BIN2;SELL;GMFG;ITGB2;TBC1D10C;PTPN6
GO_Biological_Process_2021,stress-activated MAPK cascade (GO:0051403),3/62,0.0012316834626397,0.0151287912109147,0,0,15.546023468057369,104.14861573325584,PTGER4;SH2D3C;LGALS9
GO_Biological_Process_2021,neutrophil activation involved in immune response (GO:0002283),7/485,0.0012777517895161,0.0154040076847221,0,0,4.670347760477399,31.116907263688777,CD53;BIN2;SELL;GMFG;ITGB2;TBC1D10C;PTPN6
GO_Biological_Process_2021,neutrophil mediated immunity (GO:0002446),7/488,0.0013238391844246,0.0154077330047609,0,0,4.640503050339116,30.753631334035063,CD53;BIN2;SELL;GMFG;ITGB2;TBC1D10C;PTPN6
GO_Biological_Process_2021,dendritic cell chemotaxis (GO:0002407),2/16,0.0013253963875063,0.0154077330047609,0,0,43.11255411255412,285.66566773659633,GPR183;CXCR4
GO_Biological_Process_2021,regulation of small GTPase mediated signal transduction (GO:0051056),4/141,0.0013590800625006,0.0155221249243498,0,0,9.030565693430656,59.61028762416751,FGD3;TAGAP;RHOH;ARHGAP15
GO_Biological_Process_2021,peptidyl-tyrosine phosphorylation (GO:0018108),3/69,0.0016776367727337,0.0179114129744921,0,0,13.892307692307693,88.77697462107645,ABI3;LCK;PTPN6
GO_Biological_Process_2021,regulation of adaptive immune response (GO:0002819),2/18,0.0016824805132125,0.0179114129744921,0,0,37.71969696969697,240.93403928127228,SASH3;SAMSN1
GO_Biological_Process_2021,leukocyte tethering or rolling (GO:0050901),2/18,0.0016824805132125,0.0179114129744921,0,0,37.71969696969697,240.93403928127228,SELPLG;SELL
GO_Biological_Process_2021,dendritic cell migration (GO:0036336),2/18,0.0016824805132125,0.0179114129744921,0,0,37.71969696969697,240.93403928127228,GPR183;CXCR4
