gene	logFC_malignant_minus_immune	tstat	pvalue	padj	n_malignant_clusters	n_immune_clusters
GPNMB	1.7436097580355938	10.335271266760115	6.955568828206226e-08	0.0001391113765641245	4	12
LINC00324	-0.28751777468128636	-8.327625710451036	4.975377600000751e-06	0.004975377600000751	4	12
PMEL	1.9001613892088693	19.042610930423578	1.2628832352883024e-05	0.006314416176441512	4	12
TRIM22	-0.9363467586774528	-7.10431020200611	1.0091884723431427e-05	0.006314416176441512	4	12
COX7A2L	0.5590920883550633	6.316635517611755	2.0579274239951485e-05	0.008231709695980593	4	12
VOPP1	-0.5948524845675112	-6.030183690682734	6.616795940399782e-05	0.022055986467999274	4	12
RILPL2	-0.4406714720338409	-5.629995385895302	8.832205884906513e-05	0.022080514712266283	4	12
GMFG	-0.8684187267680499	-5.867900500221813	8.340593377544758e-05	0.022080514712266283	4	12
ACSL5	-0.520255678425098	-5.2061532490955225	0.0001539814959554702	0.023689460916226184	4	12
FAM107B	-0.4254825067968303	-5.603050921445567	0.00011985768697781204	0.023689460916226184	4	12
FIS1	0.570004961030979	5.56109873888069	0.00013446599007897723	0.023689460916226184	4	12
MFNG	-0.6022256856711519	-5.651940562430233	0.0001466685062185865	0.023689460916226184	4	12
USMG5	0.4848360665970768	5.358292429417274	0.00011821225835181066	0.023689460916226184	4	12
LGALS3	1.0137789210230124	4.8588861363389455	0.0002530338175752536	0.027027482893912318	4	12
PTPRN2	-0.29954584251573924	-4.958552499531564	0.000337843536173904	0.027027482893912318	4	12
P4HTM	-0.2809405222930632	-4.872741075989738	0.00024968421520544956	0.027027482893912318	4	12
PTTG1IP	0.9491681559170926	4.969253824890142	0.00020648866603256794	0.027027482893912318	4	12
HLA-DPA1	-1.0100049882493982	-4.728260262702757	0.00032909852983987743	0.027027482893912318	4	12
TNFAIP3	-0.7443628591455782	-4.932346445820041	0.00027386963369865837	0.027027482893912318	4	12
HCLS1	-0.9053812974045559	-5.1843662033925515	0.0002993846540759371	0.027027482893912318	4	12
TUBA4A	-0.6075993911665586	-5.116068031512234	0.00032592168090166964	0.027027482893912318	4	12
NDUFB9	0.5362480156165305	5.260820736830464	0.00019480218859933553	0.027027482893912318	4	12
SNORA70G	-0.2732419534145223	-4.874563297785897	0.0002475850538882758	0.027027482893912318	4	12
GCH1	-0.3552629797975325	-5.093420912874819	0.0003000394190605406	0.027027482893912318	4	12
MLKL	-0.43542465083882564	-4.960352086219401	0.00027317299832178865	0.027027482893912318	4	12
IL2RG	-0.9496402133637165	-5.074543221671298	0.000357012158738266	0.027284083567244984	4	12
LOC643733	-0.44345201227231457	-4.972246210067268	0.0003819771699414298	0.027284083567244984	4	12
TNFAIP8	-0.6136572952570176	-4.964872068123275	0.0003799822572950802	0.027284083567244984	4	12
ARHGAP27	-0.4336314507414304	-4.70971888350181	0.0004228110715338197	0.028187404768921315	4	12
HLA-DPB1	-0.9511022802659623	-4.847453373801696	0.0004209528358375549	0.028187404768921315	4	12
GIMAP5	-0.7376895312022653	-4.8938581281973494	0.0004752735868716642	0.0306628120562364	4	12
DGKA	-0.6449131876462539	-4.776909579908237	0.0005138583957005271	0.031760040555601825	4	12
GIMAP7	-0.8405161948892015	-4.8304822846010715	0.0005240406691674302	0.031760040555601825	4	12
CHST7	-0.18275905140700502	-4.539405406426978	0.0006045391222008021	0.03267779038923255	4	12
HLA-DRB1	-1.0265817322790811	-4.752021974302783	0.000591295923527252	0.03267779038923255	4	12
LSP1	-0.9167874709229	-4.761335850785518	0.0005878174010650958	0.03267779038923255	4	12
ZNF101	-0.3285279667334462	-4.479659092382909	0.0005704186292886954	0.03267779038923255	4	12
EPHB6	-0.3210210343252382	-4.726394063463626	0.0006213970279027024	0.03270510673172118	4	12
PSMB7	0.6676240942523469	5.276903799086957	0.0006738262776415673	0.0330550167225749	4	12
S1PR4	-0.26545850569306945	-4.6698187866652825	0.0006776278428127856	0.0330550167225749	4	12
AGER	-0.1590268851960882	-4.649897699020924	0.0006575568493415595	0.0330550167225749	4	12
EVI2B	-0.7707346234702713	-4.579619120567272	0.000765438370052294	0.033279929132708434	4	12
TAGAP	-0.6663644372181867	-4.628967097068433	0.0007175369015968271	0.033279929132708434	4	12
CORO1A	-1.0276631444770725	-4.59168203526134	0.0007588628962485206	0.033279929132708434	4	12
RUNX1-IT1	-0.40537659687858785	-4.471557863882662	0.0007125412382802368	0.033279929132708434	4	12
CD53	-0.9558604215840397	-4.594805937229991	0.0007628870834497414	0.033279929132708434	4	12
C14orf166	0.3971329562059409	4.267037399429999	0.000792164569884437	0.033709130633380296	4	12
GIMAP6	-0.6082499765205234	-4.443995062880809	0.0009495556878201505	0.034256163962771216	4	12
CCDC109B	-0.4636896257658043	-4.11982746609247	0.0012507870023511628	0.034256163962771216	4	12
SASH3	-0.7016422940049928	-4.230715683441848	0.0014098464881599	0.034256163962771216	4	12
ABI3	-0.5943209836668917	-4.277543164955776	0.0013025684316876898	0.034256163962771216	4	12
LRMP	-0.5201088598560157	-4.383564577996362	0.0010913647499986327	0.034256163962771216	4	12
FBXO7	0.8025489481843407	5.9937213169811745	0.001215180925964695	0.034256163962771216	4	12
C5orf56	-0.34767634376981305	-4.0811729198123174	0.001318399745264102	0.034256163962771216	4	12
PTPN6	-0.7232073743508209	-4.3208595437940485	0.0012088781353637495	0.034256163962771216	4	12
TYR	1.909254393628598	10.810185070059388	0.001472577758205388	0.034256163962771216	4	12
ZBTB16	-0.46261758210160975	-4.172000307666818	0.001538733356035113	0.034256163962771216	4	12
